station_name,array,longitude,latitude,section,type,range,standard_name,distance_to_mouth...9,distance_to_mouth...10
Clyde_001,Clyde River,150.19951,-35.71871,River,Hydrophone,150,St.1,0,0
Clyde_002,Clyde River,150.18835,-35.7134,River,Hydrophone,150,St.2,1307.3929443359375,1307.3927001953125
Clyde_003,Clyde River,150.17877,-35.70568,River,Hydrophone,150,St.3,2603.03955078125,2605.679443359375
Clyde_004,Clyde River,150.17201,-35.69805,River,Hydrophone,150,St.4,3647.5419921875,3644.901123046875
Clyde_005,Clyde River,150.15939,-35.69859,River,Hydrophone,150,St.5,4755.96240234375,4756.67041015625
Clyde_006,Clyde River,150.14654,-35.69794,River,Hydrophone,150,St.6,5957.060546875,5956.70458984375
Clyde_007,Clyde River,150.1404,-35.70429,River,Hydrophone,150,St.7,6696.3505859375,6698.2265625
Clyde_008,Clyde River,150.13074,-35.69655,River,Hydrophone,150,St.8,7900.39794921875,NA
Clyde_034,Clyde River,150.13342,-35.68502,River,Hydrophone,150,St.9,9092.0888671875,NA
Clyde_009,Clyde River,150.12624,-35.68666,River,Hydrophone,150,St.10,8912.6748046875,NA
Clyde_010,Clyde River,150.12313,-35.67607,River,Hydrophone,150,St.11,10175.255859375,NA
Clyde_011,Clyde River,150.1346225,-35.67312833,River,Hydrophone,150,St.12,11158.546875,NA
Clyde_012,Clyde River,150.1467,-35.67138,River,Hydrophone,150,St.13,12348.3505859375,NA
Clyde_013,Clyde River,150.14940000000001,-35.65945,River,Hydrophone,150,St.14,NA,NA
Clyde_014,Clyde River,150.13848,-35.65444,River,Hydrophone,150,St.15,14483.8349609375,NA
Clyde_015,Clyde River,150.14148,-35.64476,River,Hydrophone,150,St.16,NA,NA
Clyde_016,Clyde River,150.13788,-35.63495,River,Hydrophone,150,St.17,16765.458984375,NA
Clyde_017,Clyde River,150.13911,-35.624,River,Hydrophone,150,St.18,17936.9375,NA
Clyde_018,Clyde River,150.1425,-35.61901,River,Hydrophone,150,St.19,18984.9453125,NA
Clyde_019,Clyde River,150.15361,-35.62352,River,Hydrophone,150,St.20,20242.048828125,NA
Clyde_020,Clyde River,150.14923,-35.61613,River,Hydrophone,150,St.21,NA,NA
Clyde_021,Clyde River,150.15068,-35.60839,River,Hydrophone,150,St.22,22286.802734375,NA
Clyde_022,Clyde River,150.15994,-35.60386,River,Hydrophone,150,St.23,23458.796875,NA
Clyde_023,Clyde River,150.14825,-35.59794,River,Hydrophone,150,St.24,NA,NA
Clyde_024,Clyde River,150.16158,-35.596,River,Hydrophone,150,St.25,NA,NA
Clyde_025,Clyde River,150.15575,-35.58887,River,Hydrophone,150,St.26,26893.794921875,NA
Clyde_026,Clyde River,150.16634,-35.58285,River,Hydrophone,150,St.27,NA,NA
Clyde_027,Clyde River,150.17336,-35.57361,River,Hydrophone,150,St.28,NA,NA
Clyde_028,Clyde River,150.18248,-35.56687,River,Hydrophone,150,St.29,30533.3515625,NA
Clyde_029,Clyde River,150.18391,-35.55724,River,Hydrophone,150,St.30,31699.6640625,NA
Clyde_030,Clyde River,150.18275,-35.55323,River,Hydrophone,150,St.31,32832.1953125,NA
Clyde_031,Clyde River,150.17972,-35.54543,River,Hydrophone,150,St.32,34051.35546875,NA
Clyde_032,Clyde River,150.18922,-35.53865,River,Hydrophone,150,St.33,35289.4140625,NA
Clyde_033,Clyde River,150.20297,-35.53852,River,Hydrophone,150,St.34,36643.390625,NA
