station_name,array,latitude,longitude,section,type,range,standard_name,distance_to_mouth
Clyde_001,Clyde River,-35.71871,150.19951,River,Hydrophone,150,St.1,0
Clyde_002,Clyde River,-35.7134,150.18835,River,Hydrophone,150,St.2,1307.3929443359375
Clyde_003,Clyde River,-35.70568,150.17877,River,Hydrophone,150,St.3,2603.039551
Clyde_004,Clyde River,-35.69805,150.17201,River,Hydrophone,150,St.4,3647.541992
Clyde_005,Clyde River,-35.69859,150.15939,River,Hydrophone,150,St.5,4755.962402
Clyde_006,Clyde River,-35.69794,150.14654,River,Hydrophone,150,St.6,5957.060547
Clyde_007,Clyde River,-35.70429,150.1404,River,Hydrophone,150,St.7,6696.350586
Clyde_008,Clyde River,-35.69655,150.13074,River,Hydrophone,150,St.8,7900.397949
Clyde_034,Clyde River,-35.68502,150.13342,River,Hydrophone,150,St.9,9092.088867
Clyde_009,Clyde River,-35.68666,150.12624,River,Hydrophone,150,St.10,8912.674805
Clyde_010,Clyde River,-35.67607,150.12313,River,Hydrophone,150,St.11,10175.25586
Clyde_011,Clyde River,-35.67312833,150.1346225,River,Hydrophone,150,St.12,11158.54688
Clyde_012,Clyde River,-35.67138,150.1467,River,Hydrophone,150,St.13,12348.35059
Clyde_013,Clyde River,-35.65945,150.14940000000001,River,Hydrophone,150,St.14,13764.35059
Clyde_014,Clyde River,-35.65444,150.13848,River,Hydrophone,150,St.15,14483.83496
Clyde_015,Clyde River,-35.64476,150.14148,River,Hydrophone,150,St.16,15689.83496
Clyde_016,Clyde River,-35.63495,150.13788,River,Hydrophone,150,St.17,16765.45898
Clyde_017,Clyde River,-35.624,150.13911,River,Hydrophone,150,St.18,17936.9375
Clyde_018,Clyde River,-35.61901,150.1425,River,Hydrophone,150,St.19,18984.94531
Clyde_019,Clyde River,-35.62352,150.15361,River,Hydrophone,150,St.20,20242.04883
Clyde_020,Clyde River,-35.61613,150.14923,River,Hydrophone,150,St.21,21304.04883
Clyde_021,Clyde River,-35.60839,150.15068,River,Hydrophone,150,St.22,22286.80273
Clyde_022,Clyde River,-35.60386,150.15994,River,Hydrophone,150,St.23,23458.79688
Clyde_023,Clyde River,-35.59794,150.14825,River,Hydrophone,150,St.24,24664.79688
Clyde_024,Clyde River,-35.596,150.16158,River,Hydrophone,150,St.25,25771.79492
Clyde_025,Clyde River,-35.58887,150.15575,River,Hydrophone,150,St.26,26893.79492
Clyde_026,Clyde River,-35.58285,150.16634,River,Hydrophone,150,St.27,28073.79492
Clyde_027,Clyde River,-35.57361,150.17336,River,Hydrophone,150,St.28,29331.35156
Clyde_028,Clyde River,-35.56687,150.18248,River,Hydrophone,150,St.29,30533.35156
Clyde_029,Clyde River,-35.55724,150.18391,River,Hydrophone,150,St.30,31699.66406
Clyde_030,Clyde River,-35.55323,150.18275,River,Hydrophone,150,St.31,32832.19531
Clyde_031,Clyde River,-35.54543,150.17972,River,Hydrophone,150,St.32,34051.35547
Clyde_032,Clyde River,-35.53865,150.18922,River,Hydrophone,150,St.33,35289.41406
Clyde_033,Clyde River,-35.53852,150.20297,River,Hydrophone,150,St.34,36643.39063
