station_name,array,latitude,longitude,section,type,range,standard_name,distance_to_mouth
CM_009,Shoalhaven River,-34.90383,150.76332,River,Hydrophone,120,St.1,0
CM_012,Shoalhaven River,-34.90195,150.755333,River,Hydrophone,120,St.2,808.45452880859375
CM_082,Shoalhaven River,-34.905217,150.74075,River,Hydrophone,120,St.3,2124.158203
CM_026,Shoalhaven River,-34.90013,150.73172,River,Hydrophone,120,St.4,3048.15332
CM_101,Shoalhaven River,-34.89679,150.7281,River,Hydrophone,120,St.5,3547.15332
CM_027,Shoalhaven River,-34.89384,150.72554,River,Hydrophone,120,St.6,3991.740478515625
CM_093,Shoalhaven River,-34.89153,150.72041,River,Hydrophone,120,St.7,4454.622559
CM_084,Shoalhaven River,-34.89006,150.71324,River,Hydrophone,120,St.8,5163.033691
CM_028,Shoalhaven River,-34.88093,150.71925,River,Hydrophone,120,St.9,6390.310059
CM_037,Shoalhaven River,-34.873833,150.71095,River,Hydrophone,120,St.10,7310.289063
Ind_001,Shoalhaven River,-34.86185,150.73158,River,Hydrophone,120,St.11,8984.182617
CM_092,Shoalhaven River,-34.868683,150.7003,River,Hydrophone,120,St.12,8401.742188
CM_038,Shoalhaven River,-34.85643,150.67726,River,Hydrophone,120,St.13,11032.80957
Ind_002,Shoalhaven River,-34.84511,150.67525,River,Hydrophone,120,St.14,12398.80957
CM_039,Shoalhaven River,-34.85354,150.67213,River,Hydrophone,120,St.15,11623.11426
CM_040,Shoalhaven River,-34.8526,150.65895,River,Hydrophone,120,St.16,12875.57227
CM_043,Shoalhaven River,-34.855,150.63755,River,Hydrophone,120,St.17,14727.80371
CM_044,Shoalhaven River,-34.85415,150.62273,River,Hydrophone,120,St.18,16120.08301
CM_053,Shoalhaven River,-34.86066,150.60922,River,Hydrophone,120,St.19,17610.92383
CM_049,Shoalhaven River,-34.86266,150.6049,River,Hydrophone,120,St.20,17943.44531
Ind_003,Shoalhaven River,-34.86668,150.59705,River,Hydrophone,120,St.21,18735.44531
Ind_004,Shoalhaven River,-34.87185,150.59082,River,Hydrophone,120,St.22,19607.21289
CM_059,Shoalhaven River,-34.86864,150.58379,River,Hydrophone,120,St.23,20177.21289
Ind_007,Shoalhaven River,-34.8635,150.57414,River,Hydrophone,120,St.24,21278.73242
Ind_008,Shoalhaven River,-34.86891,150.5728,River,Hydrophone,120,St.25,21517.06055
CM_064,Shoalhaven River,-34.87383,150.57018,River,Hydrophone,120,St.26,22171.59766
CM_066,Shoalhaven River,-34.87026,150.56357,River,Hydrophone,120,St.27,22850.97656
CM_081,Shoalhaven River,-34.86566,150.55807,River,Hydrophone,120,St.28,23580.5332
CM_069,Shoalhaven River,-34.87014,150.54202,River,Hydrophone,120,St.29,24994.30859
CM_070,Shoalhaven River,-34.86323,150.55046,River,Hydrophone,120,St.30,26759.06055
CM_071,Shoalhaven River,-34.85164,150.55457,River,Hydrophone,120,St.31,28216.70703
CM_075,Shoalhaven River,-34.86407,150.50562,River,Hydrophone,120,St.32,33155.59766
CM_076,Shoalhaven River,-34.86581,150.4964,River,Hydrophone,120,St.33,34076.60156
CM_103,Shoalhaven River,-34.88314,150.52103,River,Hydrophone,120,St.34,37697.94531
Ind_005,Shoalhaven River,-34.89814,150.50674,River,Hydrophone,120,St.35,39816.94531
